dist,rpm,ang,success
3.5,3000.0,55.0,1.0
3.5,3000.0,55.0,0.5
3.5,3000.0,55.0,1.0
3.5,3000.0,55.0,0.0
3.5,3000.0,55.0,1.0
3.5,3000.0,55.0,0.0
3.5,3000.0,55.0,1.0
3.1,2800.0,55.0,0.5
3.1,2800.0,55.0,0.0
3.1,2850.0,55.0,1.0
3.1,2850.0,55.0,0.5
3.1,2850.0,55.0,0.5
3.1,2850.0,55.0,0.0
3.1,2850.0,55.0,0.5
3.1,2850.0,55.0,0.0
3.1,2850.0,55.0,0.0
3.1,2900.0,55.0,0.0
3.1,2900.0,55.0,0.0
3.1,2900.0,55.0,0.5
3.1,2900.0,55.0,1.0
3.1,2900.0,55.0,0.0
3.1,2900.0,55.0,0.0
3.1,2950.0,55.0,0.0
3.1,2950.0,55.0,0.0
3.1,2950.0,55.0,0.0
3.1,2950.0,55.0,0.0
3.1,2950.0,55.0,1.0
3.1,2950.0,55.0,0.5
3.1,2950.0,55.0,1.0
3.1,2950.0,55.0,1.0
3.1,2950.0,55.0,1.0
3.1,2950.0,55.0,0.0
3.1,2950.0,55.0,0.5
3.1,2950.0,55.0,0.0
3.1,2950.0,55.0,1.0
3.1,2950.0,55.0,1.0
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,1.0
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,0.0
2.5,2800.0,55.0,0.5
2.5,2750.0,55.0,0.5
2.5,2750.0,55.0,0.5
2.5,2750.0,55.0,1.0
2.5,2750.0,55.0,0.0
2.5,2750.0,55.0,0.0
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,0.0
2.5,2800.0,55.0,1.0
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,0.5
2.5,2800.0,55.0,0.5
2.5,2770.0,55.0,1.0
2.5,2770.0,55.0,0.0
2.5,2770.0,55.0,0.0
2.5,2770.0,55.0,0.0
2.5,2770.0,55.0,1.0
2.5,2770.0,55.0,0.0
2.5,2770.0,55.0,0.0
2.5,2770.0,55.0,1.0
2.5,2770.0,55.0,1.0
2.5,2770.0,55.0,0.0
2.5,2770.0,55.0,1.0
2.5,2770.0,55.0,0.0
1.8,2700.0,65.0,1.0
1.8,2700.0,65.0,0.0
1.8,2700.0,65.0,1.0
1.8,2700.0,65.0,0.0
1.8,2700.0,65.0,0.0
1.8,2700.0,65.0,0.0
1.8,2700.0,65.0,1.0
1.8,2700.0,65.0,0.0
1.8,2700.0,65.0,0.0
1.8,2730.0,65.0,0.0
1.8,2730.0,65.0,0.0
1.8,2730.0,65.0,0.0
1.8,2750.0,65.0,0.0
1.8,2750.0,65.0,0.5
1.8,2750.0,65.0,1.0
1.8,2750.0,65.0,0.5
1.8,2750.0,65.0,0.0
1.8,2700.0,55.0,0.0
1.8,2700.0,55.0,0.0
1.8,2700.0,55.0,0.0
1.8,2750.0,65.0,0.0
1.8,2750.0,65.0,0.0
1.8,2750.0,65.0,0.0
1.8,2750.0,65.0,0.5
1.8,2750.0,65.0,0.0
1.8,2750.0,65.0,0.5
1.8,2780.0,65.0,0.0
1.8,2780.0,65.0,1.0
1.8,2780.0,65.0,1.0
1.8,2780.0,65.0,0.5
1.8,2780.0,65.0,1.0
1.8,2780.0,65.0,0.5
1.8,2780.0,65.0,0.0
1.8,2780.0,65.0,0.0
1.8,2780.0,65.0,0.0
1.8,2780.0,65.0,1.0
1.2,2500.0,65.0,0.5
1.2,2500.0,65.0,1.0
1.2,2500.0,65.0,0.5
1.2,2500.0,65.0,1.0
1.2,2500.0,65.0,0.0
1.2,2500.0,65.0,1.0
1.2,2500.0,65.0,0.0
1.2,2500.0,65.0,1.0
1.2,2500.0,65.0,1.0
1.2,2500.0,65.0,1.0
1.2,2500.0,65.0,1.0
1.2,2300.0,65.0,0.0
1.2,2300.0,65.0,0.0
1.2,2400.0,65.0,0.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,0.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,0.0
1.2,2400.0,65.0,1.0
1.2,2400.0,65.0,1.0
0.85,2200.0,70.0,0.0
0.85,2350.0,70.0,1.0
0.85,2350.0,70.0,0.0
0.85,2350.0,70.0,0.0
0.85,2400.0,70.0,1.0
0.85,2400.0,70.0,1.0
0.85,2400.0,70.0,0.0
0.85,2400.0,70.0,1.0
0.85,2400.0,70.0,1.0
0.85,2400.0,70.0,0.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.5
2.34,2722.9,55.0,0.5
2.34,2722.9,55.0,0.5
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.5
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.5
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.5
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,1.0
2.34,2722.9,55.0,0.0
2.34,2722.9,55.0,0.0
2.0,2596.9,55.0,0.5
2.0,2596.9,55.0,0.0
2.0,2596.9,55.0,0.5
2.0,2596.9,55.0,1.0
2.0,2596.9,55.0,1.0
2.0,2596.9,55.0,1.0
2.0,2596.9,55.0,0.0
2.0,2596.9,55.0,1.0
2.0,2596.9,55.0,0.0
2.0,2596.9,55.0,1.0
2.0,2596.9,55.0,0.0
2.0,2596.9,55.0,1.0
2.0,2841.0,65.0,0.0
2.0,2841.0,65.0,0.0
1.88,2547.25,55.0,1.0
1.88,2547.25,55.0,1.0
1.88,2547.25,55.0,0.0
1.88,2547.25,55.0,0.0
1.88,2547.25,55.0,1.0
1.88,2547.25,55.0,0.0
1.88,2547.25,55.0,1.0
1.88,2547.25,55.0,0.0
1.88,2547.25,55.0,1.0
1.88,2547.25,55.0,0.0
1.88,2547.25,55.0,0.0
1.88,2547.25,55.0,0.0
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,0.5
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,1.0
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,0.0
1.88,2784.46,65.0,0.0
1.31,2500.0,65.0,0.5
1.31,2550.0,65.0,0.0
1.31,2550.0,65.0,0.0
1.31,2550.0,65.0,0.0
1.31,2550.0,65.0,0.0
1.31,2525.0,65.0,0.5
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.0
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.5
1.31,2525.0,65.0,0.5
1.31,2525.0,65.0,1.0
1.31,2525.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.5
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.5
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,0.5
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,1.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2540.0,65.0,0.0
1.31,2400.0,55.0,0.0
1.31,2400.0,55.0,0.0
1.31,2400.0,55.0,0.0
0.67,2400.0,70.0,1.0
0.67,2400.0,70.0,0.0
0.67,2400.0,70.0,0.0
0.67,2400.0,70.0,1.0
0.67,2400.0,70.0,0.0
0.67,2400.0,70.0,1.0
0.67,2400.0,70.0,0.0
0.67,2400.0,70.0,1.0
0.67,2400.0,70.0,1.0
0.67,2400.0,70.0,1.0
0.67,2400.0,70.0,0.0
0.67,2400.0,70.0,0.0
0.67,2400.0,70.0,0.0
0.67,2450.0,70.0,0.0
0.67,2450.0,70.0,0.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,0.5
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,1.0
0.67,2420.0,70.0,0.0
0.67,2420.0,70.0,1.0
1.8,2500.0,55.0,0.5
1.8,2500.0,55.0,1.0
1.8,2500.0,55.0,0.0
1.8,2500.0,55.0,0.5
1.8,2500.0,55.0,0.0
1.8,2500.0,55.0,0.0
1.8,2500.0,55.0,1.0
1.8,2500.0,55.0,1.0
1.8,2500.0,55.0,0.5
1.8,2500.0,55.0,0.0
1.8,2800.0,65.0,1.0
1.8,2800.0,65.0,0.0
1.8,2800.0,65.0,1.0
1.8,2800.0,65.0,0.5
1.8,2800.0,65.0,0.5
1.8,2800.0,65.0,0.0
1.8,2800.0,65.0,0.5
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,0.5
1.8,2550.0,55.0,0.5
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,1.0
1.8,2550.0,55.0,0.5
1.8,2550.0,55.0,1.0
2.88,2900.0,55.0,0.5
2.88,2900.0,55.0,0.5
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.0
2.88,2900.0,55.0,0.5
2.88,2900.0,55.0,1.0
2.88,2900.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.5
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,1.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,1.0
2.88,2965.0,55.0,0.0
2.88,2965.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,1.0
2.88,2955.0,55.0,0.0
2.88,2955.0,55.0,0.5
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,1.0
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,0.0
2.88,2953.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2914.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,1.0
2.88,2930.0,55.0,0.0
2.88,2930.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2935.0,55.0,0.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,0.5
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.5
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,1.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2940.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.5
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.5
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.5
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2945.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.5
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,0.0
2.88,2950.0,55.0,1.0
